                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6415,                 3.6111,                 3.7723,                 1.2019,                0.00778,                0.77778,                0.01622,                0.00569,                0.00836,                0.83333,                0.02499,                0.00916,                 1.1196,                 2.6304,                 3.5078,                0.96675,                      0,                      0,                      0
                      2,                 1.4083,                 3.0486,                 3.7739,                 1.1897,                0.00777,                0.77778,                0.02244,                0.00675,                0.00835,                0.83333,                0.02552,                0.00952,                 1.1191,                 2.6131,                 3.5148,                0.96968,              1.612e-05,              1.612e-05,              1.612e-05
                      3,                  1.455,                 3.4695,                 3.7629,                 1.1842,                0.00835,                0.83333,                0.02392,                0.00655,                0.00835,                0.83333,                0.02596,                0.00981,                 1.1193,                 2.6186,                 3.5151,                0.96868,              3.114e-05,              3.114e-05,              3.114e-05
                      4,                 1.3187,                 3.3876,                 3.8326,                 1.1182,                0.00836,                0.83333,                0.01876,                0.00576,                0.00836,                0.83333,                0.02166,                0.00856,                 1.1207,                  2.625,                 3.5193,                0.97544,             4.5059e-05,             4.5059e-05,             4.5059e-05
                      5,                 1.3205,                 2.9935,                 3.7402,                 1.1321,                0.00835,                0.83333,                0.01945,                0.00491,                0.00835,                0.83333,                0.02114,                0.00787,                 1.1241,                 2.6252,                 3.5208,                0.97827,             5.7878e-05,             5.7878e-05,             5.7878e-05
                      6,                 1.4918,                 3.3095,                 3.7052,                 1.1671,                0.00834,                0.83333,                0.01843,                0.00828,                0.00914,                0.91667,                0.03137,                0.01065,                 1.0941,                 2.3518,                 3.5328,                0.97807,             6.9597e-05,             6.9597e-05,             6.9597e-05
                      7,                 1.1558,                  2.186,                 3.6876,                 1.1568,                0.00835,                0.83333,                0.04323,                0.02111,                0.00914,                0.91667,                0.05903,                0.02475,                 1.0546,                 2.2678,                 3.5187,                0.93283,             8.0216e-05,             8.0216e-05,             8.0216e-05
                      8,                 1.3778,                 1.8441,                 3.5052,                 1.0505,                 0.0099,                      1,                0.30497,                0.18441,                 0.0099,                      1,                0.36141,                0.16539,                 1.0293,                 2.2152,                 3.3693,                0.88169,             8.9735e-05,             8.9735e-05,             8.9735e-05
                      9,                 1.3495,                 1.9698,                 3.2187,                 1.0913,                 0.0099,                      1,                0.30497,                0.18441,                 0.0099,                      1,                0.36141,                0.16539,                 1.0293,                 2.2152,                 3.3693,                0.88169,             9.8153e-05,             9.8153e-05,             9.8153e-05
                     10,                 1.2027,                 1.7635,                 3.4219,                 1.0306,                0.00991,                      1,                0.42886,                0.25797,                0.00991,                      1,                0.46536,                0.23548,                 1.0034,                 2.1578,                 3.2994,                0.86804,             0.00010547,             0.00010547,             0.00010547
                     11,                 1.1154,                 2.6419,                 3.3218,                0.97874,                0.00991,                      1,                0.42886,                0.25797,                0.00991,                      1,                0.46536,                0.23548,                 1.0034,                 2.1578,                 3.2994,                0.86804,             0.00011169,             0.00011169,             0.00011169
                     12,                  1.062,                 2.0069,                 3.1858,                0.94549,                0.00991,                      1,                0.52738,                0.27243,                0.00991,                      1,                0.56689,                0.29087,                 1.0287,                 1.9962,                 3.2799,                0.86473,             0.00011681,             0.00011681,             0.00011681
                     13,                 1.0775,                 1.8386,                 3.1023,                0.95715,                0.00991,                      1,                0.52738,                0.27243,                0.00991,                      1,                0.56689,                0.29087,                 1.0287,                 1.9962,                 3.2799,                0.86473,             0.00012082,             0.00012082,             0.00012082
                     14,                 1.0998,                 1.5376,                 3.0912,                0.93763,                0.00993,                      1,                0.59885,                0.29825,                0.00993,                      1,                0.59885,                0.29617,                   1.03,                 1.9027,                 3.2679,                0.89262,             0.00012374,             0.00012374,             0.00012374
                     15,                 1.2155,                 1.7921,                   2.98,                 1.0035,                0.00993,                      1,                0.59885,                0.29825,                0.00993,                      1,                0.59885,                0.29617,                   1.03,                 1.9027,                 3.2679,                0.89262,             0.00012556,             0.00012556,             0.00012556
                     16,                 1.0981,                 1.5619,                 2.8197,                0.94475,                0.00994,                      1,                0.59279,                0.28662,                0.00994,                      1,                0.59279,                0.29507,                0.99816,                 1.8743,                 3.2583,                0.87387,             0.00012628,             0.00012628,             0.00012628
                     17,                  1.296,                 2.0838,                 2.5931,                0.94243,                0.00994,                      1,                0.59279,                0.28662,                0.00994,                      1,                0.59279,                0.29507,                0.99816,                 1.8743,                 3.2583,                0.87387,             0.00012589,             0.00012589,             0.00012589
                     18,                 1.2285,                 1.5599,                 2.5114,                0.93401,                0.00994,                      1,                0.61234,                0.35929,                0.00994,                      1,                0.61234,                0.35381,                0.96478,                 1.8591,                 3.1674,                0.84502,             0.00012441,             0.00012441,             0.00012441
                     19,                 1.1328,                 1.6119,                 2.3316,                0.91123,                0.00994,                      1,                0.61234,                0.35929,                0.00994,                      1,                0.61234,                0.35381,                0.96478,                 1.8591,                 3.1674,                0.84502,             0.00012182,             0.00012182,             0.00012182
                     20,                 1.1072,                 1.6989,                 2.2998,                0.97235,                0.00992,                      1,                0.59705,                0.38789,                0.00992,                      1,                0.59705,                0.39305,                0.97778,                 1.8569,                 3.0423,                0.82169,             0.00011814,             0.00011814,             0.00011814
                     21,                 1.0629,                 1.8428,                 2.0892,                0.89411,                0.00992,                      1,                0.59705,                0.38789,                0.00992,                      1,                0.59705,                0.39305,                0.97778,                 1.8569,                 3.0423,                0.82169,             0.00011336,             0.00011336,             0.00011336
                     22,                  1.137,                 1.8954,                 2.1053,                0.89674,                0.00995,                      1,                0.56038,                0.35214,                0.00995,                      1,                0.56038,                0.36944,                 1.0097,                 1.8694,                 2.9519,                0.82525,             0.00010747,             0.00010747,             0.00010747
                     23,                 1.0474,                  1.643,                 1.9388,                0.88773,                0.00995,                      1,                0.56038,                0.35214,                0.00995,                      1,                0.56038,                0.36944,                 1.0097,                 1.8694,                 2.9519,                0.82525,             0.00010049,             0.00010049,             0.00010049
                     24,                 1.3663,                 1.4158,                 2.2265,                0.93624,                0.00995,                      1,                0.56038,                0.35214,                0.00995,                      1,                0.56038,                0.36944,                 1.0097,                 1.8694,                 2.9519,                0.82525,             9.2402e-05,             9.2402e-05,             9.2402e-05
                     25,                 1.0157,                 1.6887,                 1.8933,                0.89597,                0.45075,                      1,                0.57963,                0.34806,                0.45075,                      1,                0.57963,                0.41053,                 1.0604,                 1.8793,                  2.859,                0.83137,             8.3217e-05,             8.3217e-05,             8.3217e-05
                     26,                 1.3986,                 1.5241,                  2.028,                0.93386,                0.45075,                      1,                0.57963,                0.34806,                0.45075,                      1,                0.57963,                0.41053,                 1.0604,                 1.8793,                  2.859,                0.83137,             7.2931e-05,             7.2931e-05,             7.2931e-05
                     27,                 1.1463,                 1.8214,                 1.8364,                0.92949,                0.45075,                      1,                0.57963,                0.34806,                0.45075,                      1,                0.57963,                0.41053,                 1.0604,                 1.8793,                  2.859,                0.83137,             6.1546e-05,             6.1546e-05,             6.1546e-05
                     28,                 1.2505,                 1.5349,                 2.0758,                  0.961,                0.51218,                0.54531,                0.57963,                0.34402,                0.51218,                0.54531,                0.57963,                0.40864,                 1.0887,                 1.8902,                 2.7877,                0.83552,              4.906e-05,              4.906e-05,              4.906e-05
                     29,                 1.2645,                 1.7515,                 1.9584,                0.96234,                0.51218,                0.54531,                0.57963,                0.34402,                0.51218,                0.54531,                0.57963,                0.40864,                 1.0887,                 1.8902,                 2.7877,                0.83552,             3.5474e-05,             3.5474e-05,             3.5474e-05
                     30,                 1.1081,                 1.6238,                 1.9296,                0.91041,                0.51218,                0.54531,                0.57963,                0.34402,                0.51218,                0.54531,                0.57963,                0.40864,                 1.0887,                 1.8902,                 2.7877,                0.83552,             2.0787e-05,             2.0787e-05,             2.0787e-05
